Date,Close/Last,Volume,Open,High,Low
11/02/2020,331.36,4658487,331.38,333.5271,328.38
10/30/2020,327.62,6634052,329.42,330.82,323.72
10/29/2020,331.15,5163505,328.10,334.54,326.26
10/28/2020,327.88,7096185,333.24,334.00,327.30
10/27/2020,339.43,4227596,340.927,341.30,339.16
10/26/2020,340.59,4327232,343.32,344.19,336.81
10/23/2020,346.96,1796836,347.164,347.19,344.36
10/22/2020,345.86,2461179,344.20,346.45,341.88
10/21/2020,343.90,3689177,344.52,346.79,343.63
10/20/2020,344.57,2816247,344.67,348.10,343.89
10/19/2020,343.22,2973436,349.88,350.52,342.2987
10/16/2020,348.45,2768044,350.27,351.97,348.34
10/15/2020,348.76,3021176,344.92,349.24,344.31
10/14/2020,349.19,2373076,351.95,353.085,348.37
10/13/2020,351.39,2664589,353.51,353.60,350.33
10/12/2020,353.69,2301131,350.78,355.25,350.28
10/09/2020,348.01,3377059,346.79,348.54,346.09
10/08/2020,344.98,4166927,344.07,345.03,343.06
10/07/2020,341.90,3121992,339.28,342.80,339.28
10/06/2020,336.06,3934679,341.13,343.35,335.56
10/05/2020,340.90,3208467,337.21,341.12,337.20
10/02/2020,335.05,4092570,332.82,337.09,332.385
10/01/2020,338.24,3381645,338.83,339.87,336.18
09/30/2020,336.06,4750895,334.34,339.4688,334.10
09/29/2020,333.51,2540790,335.21,335.895,332.78
09/28/2020,335.36,3411162,334.36,336.10,333.31
09/25/2020,329.88,4178642,323.74,330.71,322.75
09/24/2020,324.60,4232095,322.318,327.90,320.92
09/23/2020,323.75,4366063,332.09,332.38,323.22
09/22/2020,332.97,2864816,331.23,333.57,328.50
09/21/2020,329.63,6177811,328.42,329.74,324.35
09/18/2020,333.34,3204653,338.17,338.21,330.64
09/17/2020,337.29,3097858,334.94,339.01,334.341
09/16/2020,340.21,2453201,342.95,344.47,339.95
09/15/2020,341.57,2553912,342.52,343.42,340.4102
09/14/2020,339.84,2830727,338.86,341.66,338.32
09/11/2020,335.38,3490163,337.12,338.27,332.35
09/10/2020,335.22,5060220,343.26,343.91,334.21
09/09/2020,341.18,5378531,338.98,343.89,337.98
09/08/2020,334.63,5003489,338.05,339.40,334.23
09/04/2020,343.98,5359409,347.60,349.29,336.26
09/03/2020,346.82,7771371,357.38,357.8759,344.02
09/02/2020,359.24,3596614,356.18,360.26,354.93
09/01/2020,354.06,3700409,351.68,354.18,350.70
08/31/2020,350.77,5757749,351.81,352.77,350.51
08/28/2020,352.00,2520823,350.89,352.19,349.66
08/27/2020,349.76,3767591,349.66,351.32,347.98
08/26/2020,349.00,3674797,346.11,349.27,345.58
08/25/2020,345.49,4004390,344.96,345.60,343.711
08/24/2020,344.35,2083972,343.52,344.42,342.45
08/21/2020,340.85,2063327,339.23,341.05,338.95
08/20/2020,339.66,1804711,336.73,340.1505,336.59
08/19/2020,338.62,1911489,340.40,340.999,338.02
08/18/2020,340.00,1634618,339.72,340.46,337.98
08/17/2020,339.28,1642552,339.32,339.72,338.87
08/14/2020,338.19,1716097,337.76,338.79,337.05
08/13/2020,338.22,2643209,338.00,339.615,337.18
08/12/2020,338.80,2907862,336.85,339.6403,336.80
